Main_Label,Sub1,Sub2,Sub3,Sub4,Sub5,Sub6,Sub7,Sub8,Sub9,Sub10
coffee shop,cozy corner with vintage decor,street-view facade with large windows,sunlit terrace with potted greenery,artisanal roastery with industrial design,historic building with ornate detailing,seaside coffee shop with ocean backdrop,mountain-view patio with wooden seating,urban alleyway cafe with string lights,rooftop coffee house with cityscape view,minimalist design with rustic wooden beams
restaurant,Seaside terrace dining at sunset,Rooftop restaurant with city skyline,Rustic wooden interior with chandeliers,Alfresco seating under string lights,Vine-covered courtyard dining area,Glass-walled restaurant overlooking mountains,Historical building with ornate facade,Open-air restaurant with ocean view,Modern minimalist restaurant architecture,Traditional thatched roof dining pavilion
korean palace,Golden roofed palace under clear sky,Palace reflection in lotus pond,Traditional architecture with mountain backdrop,Ornate gate with intricate carvings,Courtyard view with stone pathways,Symmetrical palace facade at sunrise,Majestic hall framed by cherry blossoms,Night view with illuminated architecture,Gabled rooftops against autumn foliage,Grand entrance with ornamental pillars
Buddhist temple,Pagoda silhouetted against sunset sky,Ornate temple rooftop with dragons,Golden Buddha statue in lush garden,Temple courtyard with ancient bells,Stone lanterns lining temple pathway,Traditional wooden temple gate entrance,Mountain temple shrouded in mist,Intricate carvings on temple walls,Lotus pond reflecting temple facade,Bamboo forest surrounding secluded shrine
traditional market,Colorful canopies over market stalls,Rustic wooden market architecture,Early morning market street ambiance,Traditional market alleyways at sunset,Market square with cobblestone paths,Weathered market signs and banners,Artisan crafts and woven baskets display,Vibrant market under hanging lanterns,Outdoor market by historic city walls,Quiet market corners with old signage
city park,Serene pond with lily pads,Sunlit pathways through tall trees,Historic gazebo amidst lush greenery,Autumn leaves carpeted walking trail,Modern sculpture in open meadow,Blossoming cherry trees in spring,Panoramic skyline from hilltop park,Bridges over gentle flowing streams,Tranquil Japanese garden design,Fountain surrounded by seasonal flowers
amusement park,Colorful carousel and spinning lights,Majestic Ferris wheel at sunset,Vibrant roller coaster tracks in motion,Twinkling lights on amusement rides,Giant water slide under blue sky,"Amusement park at night, neon glow",Iconic entrance gate with flags,Sky-high drop tower against clouds,Historic wooden roller coaster structure,Panoramic view from observation deck
stage theater,Victorian-era proscenium arch stage,Art Deco theater facade,Open-air amphitheater under moonlight,Ornate rococo ceiling details,Classic red velvet stage curtains,Vintage marquee with neon lights,Gilded balcony and box seats,Modern minimalist stage design,Historic theater with Corinthian columns,Sunlit outdoor theater ruins
movie theater,Vintage marquee with neon lights,Grand theater entrance facade,Art deco cinema architecture,Modern multiplex exterior at dusk,Historic cinema district at night,Outdoor cinema with city skyline,Rooftop movie screen under stars,Retro drive-in theater setting,Classic red velvet theater curtain,Illuminated cinema sign at twilight
gallery,Art gallery with contemporary facade,Sunlit atrium with modern sculptures,Vast exhibition hall with paintings,Outdoor sculpture garden with pathways,Historic gallery building exterior,Minimalist gallery with geometric design,Gallery with expansive skylights,Architectural details of gallery entrance,Gallery surrounded by lush landscapes,Riverside gallery with reflection views
museum,Grand entrance with ornate facade,Glass atrium with natural light,Neoclassical columns and portico,Modernist exterior with geometric lines,Sculpture garden with lush greenery,Panoramic view from rooftop terrace,Architectural details of facade frieze,Wide-angle view of museum courtyard,Dome ceiling with intricate mosaics,Reflection pool mirroring museum facade
festival,Neon-lit ferris wheel at night,Colorful lanterns illuminating the street,Grand entrance arch with festival banners,Intricate floral floats in parade,Traditional drumming stage backdrop,Sky filled with vibrant fireworks,Illuminated festival tents at dusk,Decorative street flags fluttering,Historic square adorned with lights,Scenic riverbank with floating lanterns
ocean coastline,Rocky cliffs against crashing waves,Golden sunset over tranquil sea,Misty morning fog over rugged shore,Tide pools with vibrant marine life,Secluded cove with turquoise waters,Sheer sea cliffs with dramatic drop,Winding coastal road hugging the ocean,Historic lighthouse overlooking vast ocean,Endless horizon from sandy dune viewpoint,Wind-swept dunes meeting the shoreline
forest,Misty forest with dense fog,Sunlight filtering through tall trees,Autumn leaves carpeting the forest floor,Snow-covered evergreens in winter forest,Ancient trees with twisted branches,Clear stream flowing through forest glade,Lush forest with vibrant green canopy,Pathway through a bamboo forest,Forest reflection in tranquil lake,Sunset illuminating forest canopy
river,misty river through dense forest,sunset reflection on calm river,ancient stone bridge over river,river cutting through deep canyon,snow-capped mountains with river,river delta with winding channels,autumn leaves along riverbank,waterfalls cascading into river,city skyline along riverfront,foggy river with wooden docks
palace,Grand facade with ornamental detailing,Sweeping gardens with symmetrical layout,Reflections in tranquil palace moat,Sunset silhouette of palace spires,Crenellated towers against a blue sky,Intricate stone carving on palace walls,Panoramic view from palace balcony,Elaborate palace gates with wrought iron,Majestic throne room with vaulted ceilings,Historic courtyard with cobblestone paths
observatory,Starlit dome under a clear sky,Sleek metal structure at twilight,Telescopic silhouette against sunset,Mountain-top observatory with panoramic view,Modern glass observatory in cityscape,Historic stone observatory on grassy hill,Desert observatory with rugged backdrop,Snowy observatory with northern lights,Clifftop observatory overlooking ocean,Remote observatory in lush forest setting
waterfall,Cascading waterfall through lush forest,Misty waterfall with vibrant rainbow,Waterfall plunging into turquoise pool,Rocky cliffside waterfall at golden hour,Stepped waterfalls among autumn foliage,Icicles forming on frozen waterfall,Tropical waterfall with hanging vines,Sunlit waterfall in narrow canyon,Multi-tiered waterfall over basalt columns,Waterfall framed by jagged mountain peaks
zoo,Lush botanical gardens with exotic plants,Artistic animal habitat structures,Expansive open-air enclosures,Wooden walkways through tropical zones,Treehouse observation decks,Aquatic exhibits with underwater tunnels,Interactive educational displays,Architectural aviary dome,Safari-themed landscape views,Naturalistic rock formations and waterfalls
botanical garden,Tropical greenhouse with exotic plants,Japanese Zen garden with koi pond,Victorian glasshouse with rare orchids,Cactus and succulent arid landscape,Water lily pond with reflection,Bamboo grove shaded pathway,Seasonal flower beds in bloom,Sculpted topiary garden maze,Alpine rock garden with waterfall,Palm tree avenue under blue sky
department store,Art Deco department store façade,Glass atrium with skylight ceiling,Nighttime exterior with neon lights,Grand staircase in central atrium,Vintage elevator with ornate details,Panoramic view from rooftop terrace,Seasonal window display decorations,Architectural detail of stone columns,Interior courtyard with natural light,Skybridge connecting department stores
bakery shop,Charming exterior with vintage signage,Rustic brick facade with ivy,Cobblestone alley leading to entrance,Sunlit window display with pastries,Wooden shutters and flower boxes,Historic architecture with arched windows,Outdoor seating with quaint tables,Traditional European-style storefront,Colorful awnings and hanging lanterns,Glass-fronted shop in urban setting
harbor,Seaside harbor at golden hour,Historic lighthouse overlooking harbor,Fishing boats anchored at dusk,Modern marina with luxury yachts,Fog rolling over quiet harbor,Harbor entrance with rocky breakwater,Colorful sailboats in calm waters,Industrial cranes at busy shipyard,Reflection of city skyline in water,Sunset silhouette of docked ships
street,Cobbled alleyway with vintage lampposts,Sunlit avenue lined with palm trees,Narrow lane with colorful murals,Historic street with stone facades,Rain-soaked street reflecting neon lights,Tranquil street under cherry blossoms,Curved road with mountain backdrop,Busy intersection with iconic skyscrapers,Quiet cul-de-sac with ivy-covered walls,Twisting street through medieval village
alley,Narrow cobblestone alley with stone walls,Graffiti-covered urban alleyway murals,Sunlit alley with colorful hanging lanterns,Twisting alley with ivy-covered archways,Historic alley with vintage street lamps,Alley framed by towering skyscrapers,Foggy alleyway with glowing neon signs,Venetian alley with rustic brick buildings,Alley with overhanging laundry lines,Snow-dusted alley with wooden fences
trail,Meandering forest path,Cliffside coastal trail,Sun-dappled mountain pass,Riverbank walking route,Desert canyon pathway,Snow-covered alpine trail,Ancient stone-paved route,Bridge crossing scenic trail,Lush jungle pathway,Open prairie trail under vast sky
fountain,Cascading water in urban park,Illuminated fountain at twilight,Historic stone fountain centerpiece,Fountain with colorful mosaic tiles,Minimalist modern water feature,Ornate baroque fountain in plaza,Synchronized fountains in city square,Reflection pool with bronze spouts,Tiered fountain with floral motifs,Fountain surrounded by lush gardens
pub,Historic pub exterior with cobblestone streets,Traditional wooden pub with vintage signage,Riverside pub with scenic water views,Pub interior with ornate stained glass,Cozy pub corner with rustic fireplace,Rooftop terrace with city skyline views,Pub garden surrounded by lush greenery,Old-world pub facade with ivy-covered walls,Seaside pub with panoramic ocean backdrop,Quaint village pub under starry night sky
stadium,Stadium exterior with dramatic lighting,Aerial view of stadium landscape,Architectural details of stadium facade,Panoramic view from stadium seats,Stadium silhouette at sunset,Reflective glass and steel structure,Wide-angle view of stadium roof,Stadium entrance framed by trees,Nighttime skyline behind stadium,Stadium against mountain backdrop
observation tower,Sunset silhouette over urban skyline,Foggy morning atop city heights,Seaside tower with panoramic vistas,Snow-capped mountains from observation deck,Steel lattice against clear blue sky,Twilight illumination and city lights,Clouds beneath glass-floor vantage point,Forested hills from wooden lookout,Modern architecture against stormy skies,Reflection in surrounding water bodies
