kor_label,eng_label
갈비,Ribs
갤러리카페,Gallery cafe
"고궁,궁",Palace
공원,Park
국수,Noodles
냉면,Cold noodles
도보여행,Walking tour
도시근린공원,Urban neighborhood park
등산정보,Hiking information
디저트카페,Dessert cafe
떡볶이,Tteokbokki
"릉,묘,총",tomb
문,Door
문화유적,Cultural heritage site
미술관,Art museum
박물관,Museum
봉수대,Watchtower
뷔페,buffet
브런치빈,Brunch Bean
"사당,제단","Shrine, altar"
"산성,성곽","Mountain fortress, castle walls"
삼겹살,Pork belly
"생태보존,서식지","Ecological conservation, habitat."
"수목원,식물원","arboretum, botanical garden"
순대,Sundae
술집,Bar
시장,market
실내포장마차,Indoor food stall
아파트,Apartment
양식,Western food
온천,Hot spring
워터테마파크,Water Theme Park
유적지,Heritage site
"육류,고기",Meat
의류판매,Clothing sales
인천1호선,Incheon Line 1
인터넷쇼핑몰,Online shopping mall
입출구,Entrance and exit.
전망대,Observation deck
전통찻집,Traditional tea house
"제과,베이커리","Confectionery, Bakery"
"족발,보쌈","Pork trotters, bossam."
주차장,Parking lot
참치회,Tuna sashimi
체험학습장,Experience Learning Center
추어,Mudskipper
축제,festival
카페,Café
칼국수,Noodle soup
커피전문점,Coffee shop
테마파크,theme park
테마파크시설,Theme park facilities
한식,Korean cuisine
한식뷔페,Korean BBQ Buffet
"해물,생선","Seafood, fish"
"향교,서당","Confucian school, seodang"
호수,lake
"호프,요리주점","Hof, tavern"
