파일명,원래분류명(한글),변환된분류명(영어),소분류1,확률1(%),소분류2,확률2(%),소분류3,확률3(%)
갈비_골목갈비_1838.jpg,갈비,Short ribs,market,81.84,street,81.13,theater,80.41
갈비_초량골목갈비_1806.jpg,갈비,Short ribs,market,81.84,street,81.13,theater,80.41
갈비_초량골목갈비_1807.jpg,갈비,Short ribs,market,81.84,street,81.13,theater,80.41
갈비_초량골목갈비_1808.jpg,갈비,Short ribs,market,81.84,street,81.13,theater,80.41
갤러리카페_스타파이브_1066.jpg,갤러리카페,Gallery Cafe,gallery,92.95,bakery,85.91,restaurant,85.85
"고궁,궁_경복궁_241.jpg","고궁,궁",Palace,palace,100.0,park,86.93,temple,86.82
"고궁,궁_경희궁_264.jpg","고궁,궁",Palace,palace,100.0,park,86.93,temple,86.82
"고궁,궁_경희궁_266.jpg","고궁,궁",Palace,palace,100.0,park,86.93,temple,86.82
"고궁,궁_용흥궁_1241.jpg","고궁,궁",Palace,palace,100.0,park,86.93,temple,86.82
"고궁,궁_용흥궁_1242.jpg","고궁,궁",Palace,palace,100.0,park,86.93,temple,86.82
"고궁,궁_용흥궁_1243.jpg","고궁,궁",Palace,palace,100.0,park,86.93,temple,86.82
"고궁,궁_운현궁_267.jpg","고궁,궁",Palace,palace,100.0,park,86.93,temple,86.82
"고궁,궁_운현궁_268.jpg","고궁,궁",Palace,palace,100.0,park,86.93,temple,86.82
"고궁,궁_운현궁_269.jpg","고궁,궁",Palace,palace,100.0,park,86.93,temple,86.82
"고궁,궁_창덕궁_244.jpg","고궁,궁",Palace,palace,100.0,park,86.93,temple,86.82
"고궁,궁_창덕궁_246.jpg","고궁,궁",Palace,palace,100.0,park,86.93,temple,86.82
"고궁,궁_화성행궁_759.jpg","고궁,궁",Palace,palace,100.0,park,86.93,temple,86.82
공원_동탄호수공원_629.jpg,공원,Park,park,100.0,trail,89.97,garden,89.64
공원_동탄호수공원_630.jpg,공원,Park,park,100.0,trail,89.97,garden,89.64
공원_동탄호수공원_631.jpg,공원,Park,park,100.0,trail,89.97,garden,89.64
공원_동호수어린이공원_133.jpg,공원,Park,park,100.0,trail,89.97,garden,89.64
공원_동호수어린이공원_134.jpg,공원,Park,park,100.0,trail,89.97,garden,89.64
공원_동호수어린이공원_135.jpg,공원,Park,park,100.0,trail,89.97,garden,89.64
공원_왕송호수공원_662.jpg,공원,Park,park,100.0,trail,89.97,garden,89.64
공원_은계호수공원_646.jpg,공원,Park,park,100.0,trail,89.97,garden,89.64
공원_인천대공원 수목원길_1092.jpg,공원,Park,park,100.0,trail,89.97,garden,89.64
공원_인천대공원 수목원길_1093.jpg,공원,Park,park,100.0,trail,89.97,garden,89.64
공원_인천대공원 수목원길_1094.jpg,공원,Park,park,100.0,trail,89.97,garden,89.64
국수_국수골목 계양점_1361.jpg,국수,Noodles,market,83.99,street,83.97,trail,83.84
국수_국수골목 계양점_1362.jpg,국수,Noodles,market,83.99,street,83.97,trail,83.84
국수_국수골목 계양점_1363.jpg,국수,Noodles,market,83.99,street,83.97,trail,83.84
국수_국수골목 연수점_1379.jpg,국수,Noodles,market,83.99,street,83.97,trail,83.84
국수_국수골목 연수점_1380.jpg,국수,Noodles,market,83.99,street,83.97,trail,83.84
국수_국수골목 연수점_1381.jpg,국수,Noodles,market,83.99,street,83.97,trail,83.84
냉면_개롱골목냉면_393.jpg,냉면,Cold noodles,trail,83.66,market,83.65,street,83.05
냉면_골목냉면 혜화점_405.jpg,냉면,Cold noodles,trail,83.66,market,83.65,street,83.05
냉면_골목냉면 혜화점_406.jpg,냉면,Cold noodles,trail,83.66,market,83.65,street,83.05
냉면_골목냉면 혜화점_407.jpg,냉면,Cold noodles,trail,83.66,market,83.65,street,83.05
냉면_골목냉면_380.jpg,냉면,Cold noodles,trail,83.66,market,83.65,street,83.05
냉면_깡통골목 원조비빔당면_1821.jpg,냉면,Cold noodles,trail,83.66,market,83.65,street,83.05
냉면_깡통골목 원조비빔당면_1822.jpg,냉면,Cold noodles,trail,83.66,market,83.65,street,83.05
냉면_수택골목냉면_906.jpg,냉면,Cold noodles,trail,83.66,market,83.65,street,83.05
냉면_수택골목냉면_907.jpg,냉면,Cold noodles,trail,83.66,market,83.65,street,83.05
도보여행_서서울호수공원 산책길_142.jpg,도보여행,Hiking,trail,90.06,park,87.38,forest,87.16
도보여행_서서울호수공원 산책길_143.jpg,도보여행,Hiking,trail,90.06,park,87.38,forest,87.16
도시근린공원_광교호수공원_626.jpg,도시근린공원,Urban Park,park,94.89,garden,88.49,street,87.98
